price,bedrooms,living_area,kitchen_type,furnished,terrace_surface,garden_surface,plot_surface,frontage,swimming_pool,condition,property_type
95000,2,250,0,0,0,0,250,3,0,4,1
499000,4,245,2,1,0,64,245,2,0,1,8
355000,3,125,2,0,55,0,125,2,0,2,7
255000,3,288,3,0,0,0,266,3,0,2,1
220000,4,129,2,0,0,0,43,2,0,5,1
1775000,8,350,1,0,0,0,270,3,0,1,3
289000,3,107,2,0,30,0,107,4,0,2,0
389000,3,150,2,0,7,0,112,2,0,2,1
225000,2,92,1,0,2,0,92,2,0,5,0
645000,5,250,1,0,50,2000,2256,4,0,1,5
229000,2,100,0,0,4,0,100,2,0,4,0
275000,2,77,2,0,20,0,77,4,0,1,0
1195000,4,420,2,0,12,0,2440,4,0,5,3
195000,2,65,2,0,7,0,65,2,0,3,0
495000,4,156,1,0,4,55,156,2,0,2,0
349000,3,120,0,0,0,25,77,2,0,4,1
275000,2,85,1,0,13,0,85,2,0,1,0
329000,2,85,1,0,66,66,85,2,0,1,6
410000,2,130,0,0,25,600,789,4,0,1,1
110000,2,75,0,0,0,0,185,2,0,4,1
850000,7,450,0,0,20,30,160,2,0,4,9
449000,2,252,2,0,0,0,2843,3,0,2,1
335000,3,123,1,0,9,0,123,3,0,2,0
650000,6,307,2,0,0,0,140,2,0,5,11
395000,2,103,0,0,31,0,103,2,0,2,0
589000,3,222,2,0,0,0,144,2,0,3,9
310000,3,108,2,0,88,2730,2815,4,0,5,1
529000,3,203,2,0,0,0,128,2,0,2,1
185000,2,75,3,0,0,0,75,3,0,2,0
349000,3,177,3,0,0,0,1648,3,0,4,1
695000,5,287,1,0,40,510,661,4,0,1,1
225000,4,281,3,0,0,0,172,4,0,4,1
209000,2,81,2,0,6,0,81,2,0,1,0
235000,1,60,2,0,0,0,60,2,0,2,0
222000,2,106,1,0,0,0,129,3,0,3,1
200000,3,107,0,0,0,0,375,2,0,2,1
330000,3,116,3,0,88,88,116,3,0,2,0
227000,2,89,2,0,52,0,89,2,0,3,0
895000,6,215,1,0,20,120,248,2,0,2,1
172000,2,155,2,0,0,245,155,4,0,2,0
1450000,2,220,0,0,0,0,220,4,0,3,0
265000,5,215,0,0,0,0,234,2,0,2,11
269500,3,138,1,0,0,0,162,2,0,1,1
275000,2,111,0,0,0,0,111,2,0,1,0
695000,5,257,0,0,40,268,388,2,0,2,11
169000,3,109,0,0,0,70,141,2,0,3,1
274000,2,111,1,0,18,0,111,2,0,1,0
748000,4,244,2,0,0,0,5000,4,0,2,1
735000,4,319,2,0,0,0,1164,2,0,2,3
510000,3,200,2,0,9,0,200,3,0,2,0
390000,3,355,1,0,20,80,500,3,0,1,1
595000,6,300,0,0,15,0,89,2,0,6,9
560000,6,400,3,0,0,0,8000,4,0,2,1
986000,9,340,2,1,0,15,340,2,0,1,0
170000,1,72,0,0,12,0,72,2,0,2,0
1050000,4,500,1,0,100,0,3350,4,0,2,1
149900,1,71,2,0,0,0,40,3,0,1,10
259000,3,151,3,0,0,546,813,4,0,2,1
497000,3,141,1,0,0,0,141,2,0,1,0
210000,2,70,2,0,3,0,70,3,0,2,0
85000,2,60,3,0,0,0,60,2,0,5,7
395000,3,96,2,0,0,0,96,2,0,2,0
95000,3,120,0,0,0,0,360,3,0,4,1
285000,3,220,1,0,60,50,1000,2,0,1,1
349500,4,170,0,0,30,0,170,2,0,2,1
175000,3,110,3,0,0,0,139,2,0,4,1
725000,3,154,1,0,49,281,154,4,0,1,3
4950000,5,1100,2,0,0,0,1100,4,1,1,1
1569675,6,782,2,0,0,0,1313,2,0,2,1
350000,3,105,0,0,36,0,105,2,0,1,0
245000,3,177,1,0,20,100,329,2,0,2,1
229000,3,180,2,0,0,600,763,3,0,2,1
525000,2,75,2,1,0,0,75,2,0,2,0
759000,4,310,0,0,60,900,1097,3,0,1,1
300000,3,136,3,0,0,0,1028,4,0,2,3
120000,4,95,2,0,0,0,57,2,0,2,1
369000,3,256,2,1,0,35,118,3,0,2,1
285000,3,150,2,0,0,0,212,3,0,2,1
429000,4,190,0,0,36,0,127,2,0,1,1
765000,3,170,1,0,55,0,170,2,0,1,2
207500,2,72,2,0,16,0,72,2,0,1,0
377500,2,88,2,0,0,0,88,2,0,1,0
525000,3,141,2,0,20,0,141,3,0,1,0
297000,2,120,0,0,0,140,225,2,0,1,1
507000,6,425,2,0,0,0,425,2,0,1,0
194000,2,74,2,0,5,0,74,2,0,1,0
675000,3,150,1,0,22,0,150,2,0,3,2
335000,2,135,0,0,0,0,135,2,0,2,8
850000,4,263,2,0,5,0,263,3,0,1,0
320000,2,77,1,0,8,0,77,2,0,5,0
315650,2,89,1,0,13,0,89,2,0,2,0
345000,3,140,2,0,0,0,1000,2,0,2,1
535000,4,255,2,0,0,180,277,2,0,2,1
495000,3,145,3,0,20,50,145,2,0,1,6
310000,2,116,2,0,0,0,116,3,0,1,0
795000,5,248,1,0,15,90,195,2,0,2,11
725000,3,151,1,0,0,0,151,4,1,1,0
275000,2,80,2,0,8,0,80,2,0,2,0
165000,4,198,0,0,0,225,315,2,0,4,1
310000,3,202,2,0,0,0,202,4,0,1,2
235000,4,246,3,0,30,1210,981,3,0,4,1
393700,2,116,2,0,25,0,116,4,0,2,0
1090000,4,230,1,0,25,0,1262,4,0,2,1
399000,4,166,1,0,26,0,2164,4,0,2,3
360000,1,80,1,1,0,63,80,2,0,1,0
219000,2,103,2,0,0,0,237,3,0,3,1
149000,2,58,2,1,0,0,58,3,0,1,0
398450,2,200,2,0,56,0,100,3,0,1,1
125000,2,84,0,0,0,0,84,4,0,2,0
1125000,3,233,1,0,5,0,233,2,0,1,0
280000,2,90,3,0,0,0,90,2,0,5,6
450000,3,116,2,0,0,0,116,2,0,1,0
455000,2,105,1,0,7,75,105,2,0,1,6
595000,4,165,3,0,0,0,1826,4,0,4,5
975000,3,172,2,0,6,0,172,2,0,1,0
275000,2,100,2,0,0,0,100,1,0,2,7
275000,4,311,2,0,0,0,530,3,0,2,5
179000,2,64,3,0,0,85,149,2,0,4,1
495000,5,200,1,0,0,40,120,2,0,4,9
305000,3,181,2,0,0,0,187,2,0,1,1
295000,2,100,2,0,25,100,170,2,0,2,1
240000,3,158,2,0,45,0,358,2,0,2,1
970000,3,119,1,0,28,0,119,2,0,2,0
459000,2,110,2,0,0,0,110,2,0,1,6
192000,2,65,2,0,0,0,68,3,0,2,1
536867,3,124,0,0,19,0,124,2,0,2,0
1375000,5,507,1,0,77,0,997,4,0,3,22
275000,1,80,1,0,0,0,80,4,0,1,0
145000,1,50,1,0,7,6929,50,4,1,1,12
1839000,3,203,2,0,76,0,203,3,0,2,0
139000,2,80,2,0,20,0,80,2,0,2,0
365000,1,77,3,0,0,0,77,2,0,1,0
349900,3,131,1,0,34,0,131,2,0,1,0
169000,4,155,2,0,48,0,98,2,0,2,1
419000,3,140,2,0,10,0,140,2,0,1,2
314500,4,146,0,0,5,0,5,2,0,2,1
165000,3,100,3,0,0,0,100,2,0,2,1
299000,2,94,1,0,8,0,94,2,0,1,0
260000,3,285,3,0,0,0,136,2,0,5,1
399000,1,120,1,0,43,0,120,2,0,1,0
289500,3,227,3,0,50,400,760,3,0,2,1
395000,4,188,2,0,20,0,371,3,0,2,1
695000,4,225,1,0,12,0,225,2,0,2,0
270000,2,102,2,0,0,0,102,2,0,2,0
395000,4,210,0,0,0,0,448,3,0,2,1
1075000,3,129,0,0,0,0,129,2,0,1,0
222500,3,250,2,0,0,0,250,2,0,2,0
749000,4,205,0,0,18,61,147,2,0,3,4
207000,1,53,2,0,10,30,53,2,0,1,12
259500,3,179,1,0,31,90,170,2,0,1,1
149000,1,62,3,0,0,0,62,2,0,2,0
690000,4,240,2,0,60,1200,13000,2,0,2,1
184900,2,113,2,0,20,400,470,3,0,5,1
299000,3,191,0,0,0,250,369,3,0,4,1
359000,3,186,0,0,14,79,168,3,0,2,1
1199000,5,250,1,0,80,50,250,3,0,1,0
214000,2,87,1,0,0,0,87,2,0,1,0
285000,2,125,2,0,15,0,125,3,0,2,0
975000,5,550,2,0,0,0,2283,2,0,2,5
399000,2,125,2,0,45,0,125,2,0,2,2
147000,1,45,2,0,0,0,45,2,0,2,0
350000,4,180,1,0,48,0,160,2,0,1,1
460000,3,145,2,0,44,50,243,2,0,2,4
625000,3,250,2,0,31,110,263,2,0,2,4
270000,1,60,0,0,0,0,85,2,0,2,1
149000,1,65,2,0,0,0,65,4,0,2,0
165239,2,107,0,0,0,150,331,4,0,1,1
259000,3,200,3,0,0,0,289,2,0,5,1
135000,2,78,2,0,0,0,78,3,0,2,0
294462,2,102,2,0,13,59,102,2,0,2,0
390000,2,123,1,0,9,0,123,2,0,1,0
75000,1,61,3,0,0,0,112,3,0,2,1
910000,5,406,2,0,0,0,97,2,0,1,4
209000,1,61,0,1,0,0,61,2,0,1,0
299500,2,69,0,0,3,0,69,2,0,2,2
159000,3,100,3,0,0,0,95,3,0,5,1
455000,3,136,1,0,10,0,136,2,0,1,0
379000,5,245,2,0,20,0,260,2,0,3,1
335000,2,114,1,0,13,0,114,2,0,2,0
245000,2,80,3,0,0,0,80,2,0,2,0
299000,3,227,0,0,0,0,227,2,0,5,9
849000,4,238,1,0,20,660,238,2,0,1,0
545000,3,125,2,0,14,0,125,2,0,5,0
169000,1,60,0,0,0,0,60,3,0,2,0
353000,2,98,3,0,6,0,98,2,0,1,0
215000,1,60,1,0,2,0,60,2,0,1,0
229000,1,55,2,1,4,0,55,2,0,2,0
269000,3,195,0,0,0,0,195,2,0,4,0
220000,4,186,2,0,0,923,923,4,0,2,1
