Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property
gistel,"419,000",5,183,Hyper equipped,0,None,None,828,None,None,As new,house
blankenberge,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
gent,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
edegem,"565,000",3,135,None,0,25,443,578,4,0,To be done up,house
willebroek,"279,000",3,124,Installed,0,16,None,80,None,None,Good,house
ixelles,"279,000",1,81,Hyper equipped,0,4,None,None,2,None,Good,apartment
jambes,"550,000",4,197,Installed,0,4,None,190,3,None,Just renovated,apartment-block
oudenaarde,"325,000",3,603,None,0,None,None,1442,4,0,To renovate,house
verviers,"109,000",1,None,Semi equipped,0,None,None,None,None,None,Good,apartment
pont-a-celles,"215,000",4,180,Installed,0,25,300,348,2,0,Good,house
brussels-city,"440,000",2,92,USA hyper equipped,0,None,None,None,2,0,As new,apartment
tourinne,"155,000",3,165,Semi equipped,0,None,None,350,4,None,To renovate,house
colfontaine,"95,000",2,83,Semi equipped,0,None,120,180,2,None,Good,house
brugge,"389,000",3,267,None,0,None,None,138,2,None,To renovate,town-house
bruxelles-1,"1,400,000",5,300,Hyper equipped,None,20,None,209,2,None,As new,mansion
puurs,"239,000",3,212,Installed,0,55,None,175,2,None,To be done up,house
perwez,"205,000",3,152,Semi equipped,0,None,538,538,None,None,To be done up,house
ans,"217,000",2,119,Installed,0,13,None,None,None,None,None,apartment
ways,"525,000",5,329,Hyper equipped,0,None,None,526,3,0,Good,exceptional-property
verviers-ensival,"180,000",5,200,Installed,0,10,122,215,2,0,Good,house
saint-nicolas,"197,000",2,80,Installed,0,9,None,None,3,0,As new,penthouse
forest,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
knokke-heist,"795,000",2,150,USA hyper equipped,0,None,None,None,2,0,As new,ground-floor
ledegem,"295,000",3,143,None,0,None,None,95,2,None,Just renovated,town-house
de-haan,"245,000",3,124,Installed,0,None,114,None,2,0,To be done up,apartment
uccle,"445,000",2,107,USA hyper equipped,0,17,None,None,None,0,As new,apartment
waarschoot,"198,000",3,123,None,0,None,None,None,2,None,None,apartment
berendrecht,"300,000",4,165,None,0,None,80,310,2,None,Good,house
herstal,"159,000",2,100,None,0,45,45,115,3,None,Good,house
erpion,"185,000",2,65,Semi equipped,1,15,300,None,None,1,None,apartment
aalst,"354,975",2,105,Installed,0,8,None,None,2,None,None,apartment
harelbeke,"202,500",2,89,Installed,0,45,None,None,None,0,As new,apartment
ronse,"130,000",2,120,Semi equipped,0,None,None,80,None,None,To renovate,house
antwerp,"2,450,000",6,446,USA hyper equipped,1,None,266,266,3,0,As new,house
blankenberge,"249,500",None,56,Installed,0,5,None,None,2,None,As new,flat-studio
namur,"257,500",2,103,Installed,0,6,None,None,None,None,Good,apartment
ressaix,"225,000",3,177,Installed,0,None,None,3774,4,None,Good,house
drogenbos,"375,000",4,160,Installed,0,20,50,160,2,0,To be done up,house
tihange,"449,000",5,260,Installed,0,38,2050,2813,4,None,Good,house
braine-lalleud,"530,000",3,146,Hyper equipped,0,26,300,680,4,0,To be done up,villa
wezembeek-oppem,"795,000",6,300,Installed,0,None,None,621,3,None,To be done up,house
rixensart-genval,"585,000",2,157,USA installed,0,20,252,None,2,0,As new,apartment
nieuwpoort,"499,000",2,110,None,None,None,None,None,None,0,As new,apartment
sint-pieters-woluwe,"1,050,000",5,468,Installed,0,None,53,170,2,None,Good,mansion
gent-wondelgem,"369,000",3,120,Installed,0,14,None,None,None,0,As new,apartment
seraing,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
antwerp,"709,000",3,219,None,None,10,None,None,None,None,As new,apartment
holsbeek,"885,000",4,320,Hyper equipped,0,None,3000,3037,None,None,As new,villa
mons,"185,000",3,160,Not installed,0,None,None,46,3,None,Good,mixed-use-building
poperinge,"249,000",4,145,Hyper equipped,0,None,230,409,None,None,To be done up,house
eghezee,"360,000",3,170,USA installed,0,None,875,1097,4,None,Good,house
braine-lalleud,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
schaerbeek,"375,000",3,125,USA hyper equipped,0,None,None,None,4,0,As new,apartment
geraardsbergen,"245,000",2,180,None,0,32,3000,3413,2,None,Good,house
zelzate,"249,000",2,93,USA installed,None,12,None,None,None,0,As new,apartment
bruxelles,"340,000",2,160,USA hyper equipped,0,None,None,None,2,0,As new,loft
hamoir,"399,000",4,220,USA hyper equipped,0,66,None,1640,4,0,Just renovated,villa
wavre,"360,000",2,110,USA hyper equipped,None,30,None,None,None,0,As new,apartment
masbourg,"270,000",5,600,Semi equipped,0,None,2661,2661,None,None,To renovate,villa
roeselare,"150,000",1,53,Hyper equipped,0,None,None,None,None,None,As new,apartment
ronse,"225,000",4,205,Not installed,0,None,None,224,None,None,None,mansion
herstal,"165,000",2,133,Installed,0,None,None,280,2,None,To be done up,house
woluwe-saint-pierre,"4,300,000",8,950,Installed,0,150,500,11600,4,1,To renovate,house
crisnee,"495,000",4,145,None,0,40,560,None,4,None,None,house
mechelen,"349,000",4,230,Hyper equipped,0,15,None,115,3,None,Just renovated,house
lasne,"1,680,000",6,460,Hyper equipped,0,54,None,2400,4,None,As new,exceptional-property
bruxelles,"285,000",1,88,USA hyper equipped,0,None,None,None,4,0,As new,apartment
rocourt,"215,000",2,99,Installed,0,4,None,None,2,None,Good,apartment
zottegem,"750,000",5,368,USA hyper equipped,0,None,None,1150,4,0,As new,villa
sint-andries,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
beauvechain,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
antwerp,"739,000",3,213,Installed,0,None,None,None,None,0,As new,apartment
wavre,"525,000",6,384,Installed,0,30,2000,2000,4,None,Good,house
willerzie,"95,000",2,250,Not installed,0,None,None,None,3,None,To renovate,house
antwerpen-6,"499,000",4,245,Installed,1,None,64,None,2,None,As new,loft
ath,"355,000",3,125,Installed,0,55,None,None,None,None,None,penthouse
martouzin-neuville,"255,000",3,288,Semi equipped,0,None,None,266,3,None,Good,house
gent,"220,000",4,129,Installed,0,None,None,43,None,0,To be done up,house
knokke,"1,775,000",8,350,Hyper equipped,None,None,None,270,3,0,As new,villa
sint-pieters-leeuw,"289,000",3,107,Installed,0,30,None,None,4,None,Good,apartment
